Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bangladesh,BGD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,3.019801659,2.338669316,-3.405413917,7.668926369,-1.391020978,-0.437251747,-4.781817458,6.25388242,-1.65479154,3.00061464,-6.632846648,-15.17765876,0.714228599,6.88326498,-6.338391778,3.337678291,0.363427679,4.571541474,2.369812015,-1.609286099,4.464474801,-0.634262574,1.039844812,2.014701336,0.730590409,1.721851265,1.481432356,0.223515735,0.674980729,3.400369596,1.500470719,3.519728548,2.729706135,1.9167073,3.177185503,2.706249817,2.638487151,3.222149859,2.684717105,3.305900935,3.100436692,1.92168942,2.926134543,3.50574324,4.930968205,5.388330716,5.939181515,5.076730248,4.124685807,4.373484667,5.174520875,5.20499112,4.678721918,4.747779227,5.291060808,5.803210398,5.266455113,6.080237769,6.687662727,2.271105153,5.716645098
Bulgaria,BGR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,4.551144229,2.032294164,3.172520882,3.154807366,2.684953395,4.235241268,5.898612494,10.82009085,-2.151690705,-7.463207654,-7.534068849,-6.271263865,-0.691213558,2.164358868,3.320396956,5.74937124,-13.59092363,4.484024225,-7.881072604,5.105055058,5.911159292,8.195216694,6.074063329,7.31740448,7.865501647,7.616849472,7.441487797,6.877127828,-2.722415408,2.212431063,2.758011774,1.340217109,-0.00242338,1.542387921,4.090107686,3.765068555,3.515538335,3.42891057,4.773056073,-3.380400724,8.515249594
Bahrain,BHR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-9.038253124,-10.76844038,2.761484804,1.385525437,-8.081834962,-2.372826542,6.525762553,3.287046313,-3.048395983,0.992712757,7.49120497,3.023473723,9.076230444,-3.52857225,0.593021768,0.848609082,-0.048396791,1.69827355,1.339020825,2.442157461,-0.14972112,0.8533771,2.208243364,-0.103815979,-1.336449595,-1.105353022,1.055400516,-0.434970499,-3.468434461,1.394890732,2.115445699,2.638951394,2.347595883,0.413894139,-1.352381521,0.06723301,0.913957633,0.016786109,1.698724144,-3.860111637,3.21765878
"Bahamas, The",BHS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,5.405126233,5.127225789,5.246125139,5.608079921,5.802707709,4.4055418,4.835840026,3.66500901,4.383165726,-9.012213021,-1.297178496,-5.918306557,5.132387065,-18.52381258,-16.53929731,3.033976045,6.85397272,11.79945257,23.60416185,4.436312215,-10.90046583,4.759101621,1.66642452,12.00291653,2.796405764,-0.179242552,1.045033564,0.410835213,4.700864057,-3.481588741,-6.04880613,-5.843050602,-1.847236076,1.102406217,2.442431009,2.385033542,5.070879768,-6.086230946,10.49006117,2.629682064,1.1892679,1.359063337,-2.573648591,-0.469561177,1.993583704,1.104087361,0.027989689,-3.704404799,-5.545775183,0.119788587,-0.631937739,1.977657978,-3.767283671,0.936220395,0.079669848,-1.678642658,2.264019613,1.099781367,1.228453764,-24.18131345,13.31967263
Bosnia and Herzegovina,BIH,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.18015808,81.35516538,29.74152353,13.70910001,8.598349351,12.05488255,2.042863604,4.940438543,4.230918332,7.374875475,5.129516204,6.354630872,7.183286711,7.168092787,-1.362529167,2.62997049,2.792141415,1.034339285,3.957296129,2.47075228,4.456460331,4.434014241,4.39985515,4.957386161,4.037112875,-1.884227567,9.106163704
Belarus,BLR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.245567019,-9.798383809,-7.803769961,-11.59557512,-10.1088528,3.146686066,11.8639522,8.889364506,3.866378654,6.299636448,5.263892131,5.716082411,7.794917912,12.21261832,10.14976717,10.6755868,9.099459979,10.58130499,0.446705796,8.034088134,5.625881186,1.846520268,1.042243413,1.669279929,-3.957251254,-2.611913805,2.644807522,3.369991519,1.604818192,-0.278203387,2.73401499
Belize,BLZ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,2.258698707,2.241655825,2.117593133,1.997584087,1.86183459,1.645035812,1.759448485,4.17496151,2.15277401,2.415160105,2.113202622,8.488183008,3.839808994,12.01930585,1.86549858,-2.033774928,4.375780649,5.784653639,5.32609203,10.84956914,-1.334680696,-2.496725483,-4.428238587,-0.369728067,-1.28356216,2.191569446,8.281355909,7.378017598,10.55671961,9.066681722,9.137893136,9.778566256,4.115190339,-1.943300411,-1.901187531,-1.998032421,0.111778475,0.32739479,5.288195129,9.39899286,1.784486467,1.874493966,6.013910049,1.504839261,-0.807645036,1.559296811,0.340204416,-4.257774011,-3.145662282,-1.238076017,-2.358493725,1.54089716,2.215709713,1.830444324,1.203028528,-1.91523472,-3.631144448,-0.847617048,2.614217232,-14.68046614,13.75423091
Bermuda,BMU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,2.149274724,2.003969956,-1.260754717,8.383374234,2.250778443,12.34545455,11.0966736,0.178748759,1.520936741,4.37934159,4.195283883,2.564073979,2.238205024,1.632827387,4.551271532,8.529004076,5.500816286,1.074229338,1.768239125,6.226141897,1.674235544,-5.966959638,1.131648138,-0.396562991,-2.821585921,5.766965249,2.912453111,3.168090119,-0.399432874,-0.798461538,-3.035881339,0.666851964,2.457765924,-0.095697515,3.654763146,1.946947479,3.963724659,3.139627286,2.805721748,8.348324206,6.071369138,-2.116731681,2.736271274,1.655071335,1.018079897,4.940272519,2.763815335,-2.444780256,-6.148629405,-1.736363236,-2.907850829,-5.647262748,-0.591137895,-3.903606108,0.622598427,0.3938692,4.716102205,-0.5028993,0.317253011,-6.811709487,5.456447237
Bolivia,BOL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,0.006128822,3.409601074,4.589285698,1.796105713,2.720118301,4.9131592,4.059722795,6.205674927,2.218637942,2.945554813,2.764669005,5.59054938,3.40007594,0.649968718,4.925063968,2.289045727,2.631401583,-0.220741448,-2.084218351,-3.533238559,-1.894807976,-5.993135352,-6.072428329,-2.296700007,-3.735115386,-4.610740654,0.318505713,0.752142046,1.623456369,2.467411575,3.105994961,-0.408970621,2.195240038,2.637063079,2.705928464,2.429446093,3.042141914,3.136997548,-1.383429233,0.675361125,-0.099986843,0.706590426,0.933272881,2.377208378,2.627411949,2.981967715,2.75018668,4.328171136,1.601456455,2.375335576,3.453673773,3.39719644,5.069795424,3.783187059,3.220538942,2.663074188,2.623303304,2.6847972,0.737697291,-9.95240492,4.846972481
Brazil,BRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,5.374303544,3.482729076,-2.315871662,0.449644185,-0.456900052,3.810395918,1.465603109,7.001720507,6.772837836,7.685540345,8.641356195,9.254398627,11.25050803,5.606682803,2.715858847,7.695060336,2.490663546,2.518506258,4.272242164,6.662997479,-6.452870866,-1.450934075,-5.088346394,3.108082048,5.567836511,5.288389972,1.478596667,-1.978044868,1.243611572,-6.065555669,-0.700696276,-2.179979806,3.242563272,4.182955815,2.608090006,0.656502163,1.855343025,-1.124442426,-0.948845923,2.970910781,0.059648944,1.760242779,-0.051285666,4.561781957,2.055571501,2.847962008,4.98082992,4.061722166,-1.073238333,6.522816179,3.013396273,1.007654033,2.114256452,-0.354514802,-4.358317179,-4.057423002,0.523296589,0.978938493,0.448280407,-4.515931181,4.067872349
