Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Cuba,CUB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.438141959,0.513761468,1.809054399,2.248480393,-0.164839982,-10.94834097,1.254092864
Curacao,CUW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.290948721,-0.873007584,-1.732225675,-2.16688148,-3.371799181,-18.43847185,4.232404629
Cyprus,CYP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.418923188,6.573580202,5.733476139,5.647858201,5.529428549,-4.372474186,6.638926968
Czechia,CZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.388380838,2.53728452,5.168724304,3.22008807,3.029878663,-5.502967961,3.544223443
Denmark,DNK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.342591108,3.245956985,2.821736341,1.989537315,1.493486959,-1.994607569,4.855707586
Djibouti,DJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.526108919,7.123432337,5.458091517,4.774416888,5.5451306,1.202022033,4.812477383
Dominica,DMA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.731503063,2.763647982,-6.618994633,3.547584418,5.502483437,-16.60491154,6.681925718
Dominican Republic,DOM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.927018772,6.659200263,4.666704677,6.982527585,5.05216802,-6.720239373,12.27199023
Ecuador,ECU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.098872608,-1.226383985,2.368386526,1.289291933,0.012105103,-7.787607091,4.235251242
"Egypt, Arab Rep.",EGY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.372019079,4.346643453,4.181221001,5.314121037,5.557683888,3.569669475,3.326742091
El Salvador,SLV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.4,2.5390625,2.247619048,2.412444113,2.437471578,-8.177217438,10.27847612
Equatorial Guinea,GNQ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-9.110041149,-8.816417232,-5.667508505,-6.236544067,-5.481825379,-4.241481321,-0.945382917
